AAMC_Institution,canonical_name,Degree Type,Average GPA,Average MCAT,Average Graduate Indebtedness,NIH Research Funding,NIH Research Funding per Faculty,Total Faculty,#n_ranked_specialties,#n_top10_specialties,#n_top1_specialties,URM%,Applications,Class Size,Matriculation Rate,Cancer,"Cardiology, Heart & Vascular Surgery",Diabetes & Endocrinology,"Cardiology, Heart & Vascular Surgery",Diabetes & Endocrinology,"Ear, Nose & Throat",Gastroenterology & GI Surgery,Geriatrics,Neurology & Neurosurgery,Obstetrics & Gynecology,Ophthalmology,Orthopedics,Psychiatry,Pulmonology & Lung Surgery,Rehabilitation,Rheumatology,Urology
NYU-Grossman,NYU Grossman School of Medicine,MD,3.98,523.0,67572,490227441.0,452656.9168975069,1083.0,13.0,10.0,4.0,11.940298507462686,8385.0,99.0,1.180679785330948,16.0,1.0,4.0,1.0,4.0,20.0,4.0,1.0,1.0,12.0,,2.0,,1.0,5.0,9.0,2.0
Vanderbilt,Vanderbilt University School of Medicine,MD,3.97,522.0,209382,586273695.0,211422.1763433105,2773.0,6.0,1.0,0.0,12.24944320712695,7685.0,95.0,1.236174365647365,47.0,49.0,,49.0,,8.0,47.0,45.0,,,,,,,,,22.0
Columbia-Vagelos,Columbia University Vagelos College of Physicians and Surgeons,MD,3.9,522.0,114362,527236660.0,214411.00447336317,2459.0,13.0,11.0,0.0,20.684292379471227,7677.0,138.0,1.797577178585385,15.0,5.0,2.0,5.0,2.0,10.0,11.0,6.0,3.0,4.0,,4.0,3.0,10.0,10.0,,4.0
Yale,Yale School of Medicine,MD,3.92,522.0,91965,598157843.0,176135.996171967,3396.0,11.0,1.0,0.0,14.801444043321299,7352.0,104.0,1.4145810663764962,43.0,40.0,31.0,40.0,31.0,42.0,,24.0,38.0,39.0,,41.0,6.0,29.0,,,40.0
Pennsylvania-Perelman,Perelman School of Medicine at the University of Pennsylvania,MD,3.94,521.8,150137,587526359.0,184640.59050911377,3182.0,11.0,6.0,0.0,14.981273408239701,7097.0,153.0,2.155840495984219,10.0,9.0,23.0,9.0,23.0,7.0,12.0,8.0,8.0,21.0,,9.0,,12.0,,,13.0
Chicago-Pritzker,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,MD,3.91,521.0,127671,232851513.0,202655.79895561357,1149.0,10.0,0.0,0.0,26.32794457274827,7738.0,91.0,1.1760144740242957,12.0,33.0,34.0,33.0,34.0,31.0,20.0,44.0,40.0,31.0,,,,39.0,,,39.0
Mayo,Mayo Clinic Alix School of Medicine,MD,3.94,521.0,144152,278615843.0,325866.48304093565,855.0,13.0,3.0,0.0,14.579055441478438,5920.0,109.0,1.8412162162162162,16.333333333333332,29.0,18.0,29.0,18.0,21.0,11.333333333333334,16.666666666666668,14.333333333333334,3.0,,24.0,,18.0,6.0,4.0,22.0
Johns Hopkins,Johns Hopkins University School of Medicine,MD,3.92,521.0,111516,571755774.0,179797.41320754716,3180.0,15.0,12.0,1.0,10.084033613445378,8057.0,118.0,1.4645649745562865,8.0,10.0,6.0,10.0,6.0,6.0,6.0,10.0,7.0,2.0,3.0,22.0,4.0,11.0,24.0,1.0,8.0
Harvard,Harvard Medical School,MD,3.9,520.42,118957,1554962996.0,149717.21509724628,10386.0,15.0,11.0,2.0,11.927710843373495,8275.0,165.0,1.9939577039274923,3.0,8.0,3.0,8.0,3.0,5.0,9.0,12.0,10.0,1.0,4.0,12.0,1.0,18.0,2.0,4.0,11.0
Northwestern-Feinberg,Northwestern University The Feinberg School of Medicine,MD,3.93,520.0,191658,414130627.0,188070.22116257946,2202.0,12.0,9.0,1.0,16.31504922644163,8610.0,140.0,1.6260162601626018,17.0,7.0,7.0,7.0,7.0,26.0,10.0,9.0,6.0,6.0,,15.0,,7.0,1.0,,10.0
